DISTNAME,DISTRICT,DZCNTYNM,REGION,DZRATING,DZCAMPUS,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETLEPP,DPETSPEP,DPETBILP,DPETVOCP,DPETGIFP,DA0AT18R,DA0912DR18R,DAGC4X18R,DAGC5X17R,DAGC6X16R,DA0GR18N,DA0GS18N,DDA00A001S19R,DDA00A001219R,DDA00A001319R,DDA00AR01S19R,DDA00AR01219R,DDA00AR01319R,DDA00AW01S19R,DDA00AW01219R,DDA00AW01319R,DDA00AM01S19R,DDA00AM01219R,DDA00AM01319R,DDA00AC01S19R,DDA00AC01219R,DDA00AC01319R,DDA00AS01S19R,DDA00AS01219R,DDA00AS01319R,DDB00A001S19R,DDB00A001219R,DDB00A001319R,DDH00A001S19R,DDH00A001219R,DDH00A001319R,DDW00A001S19R,DDW00A001219R,DDW00A001319R,DDI00A001S19R,DDI00A001219R,DDI00A001319R,DD300A001S19R,DD300A001219R,DD300A001319R,DD400A001S19R,DD400A001219R,DD400A001319R,DD200A001S19R,DD200A001219R,DD200A001319R,DDE00A001S19R,DDE00A001219R,DDE00A001319R,DA0CT18R,DA0CC18R,DA0CSA18R,DA0CAA18R,DPSATOFC,DPSTTOFC,DPSCTOFP,DPSSTOFP,DPSUTOFP,DPSTTOFP,DPSETOFP,DPSXTOFP,DPSCTOSA,DPSSTOSA,DPSUTOSA,DPSTTOSA,DPSAMIFP,DPSAKIDR,DPSTKIDR,DPST05FP,DPSTEXPA,DPSTADFP,DPSTURNR,DPSTBLFP,DPSTHIFP,DPSTWHFP,DPSTO2FP,DPSTREFP,DPSTSPFP,DPSTCOFP,DPSTBIFP,DPSTVOFP,DPSTGOFP,DPFVTOTK,DPFTADPR,DPFRAALLT,DPFRAALLK,DPFRAOPRT,DPFRASTAP,DZRVLOCP,DPFRAFEDP,DPFRAORVT,DPFUNAB1T,DPFUNA4T,DPFEAALLT,DPFEAOPFT,DPFEAOPFK,DPFEAINSP,DZEXADMP,DZEXADSP,DZEXPLAP,DZEXOTHP,DPFEAINST,DPFEAINSK,DPFPAREGP,DPFPASPEP,DPFPACOMP,DPFPABILP,DPFPAVOCP,DPFPAGIFP,DPFPAATHP,DPFPAHSAP,DPFPREKP,DPFPAOTHP,DISTSIZE,COMMTYPE,PROPWLTH,TAXRATE
MILLSAP ISD,184904,184 PARKER,11,B,3,1016,0.7,14,81.7,0.4,0.4,0.4,2.5,46.2,2.4,9,2.3,35.7,4.1,95.7,0.6,97.2,96.8,100,71,62,80,49,20,75,46,18,69,39,8,88,56,28,85,52,18,78,43,19,64,29,7,72,38,14,82,51,21,100,83,83,-1,-1,-1,-1,-1,-1,71,49,29,71,40,15,50.7,44.4,1065,20.2,148.5,77,2.7,4,2.8,51.9,12.9,25.7,78392,70479,56205,45539,3,6.8,13.2,40,11.0,15.1,14.7,0,1.1,95.7,3.2,72.8,7,5.6,0,8.2,6.5,307764,1.612,12764333,12854,11099137,51.1,43.9,5,1665196,2618934,0,12448629,9766151,9835,53.6,7.3,6.3,13.4,19.4,5234324,5271,41,8,5.5,0.1,5.9,0.7,3.4,1.6,1.1,32.7,"1,000 to 1,599",Other Central City Suburban,"$299,260 to < $316,695",$1.4272 and over
ALEDO ISD,184907,184 PARKER,11,A,9,6100,1.3,14.8,78.9,0.4,0.7,0,3.8,14.2,2.7,7.6,2.7,22.1,6.7,96.6,0.4,99.2,99.5,98.4,403,353,92,72,42,91,71,37,83,57,26,94,75,46,94,78,49,92,74,54,85,59,25,85,56,28,93,75,45,92,67,33,95,84,64,100,86,0,89,71,43,80,49,20,82.6,70,1150,24,654.4,354.7,1.5,3.3,11,54.2,6.5,23.5,122397,80256,65536,56431,6.4,9.3,17.2,23,12.9,22.9,14,0.3,2.5,97,0.2,79.5,7.4,0.9,1.5,3.1,7.6,481012,1.595,66132834,11608,52150124,18.9,77.8,3.3,13982710,17970596,0,64198556,48629743,8536,54.7,7.4,5.6,11.6,20.7,26592202,4668,55,9,3,0.8,2.8,0.3,3.2,1,0,24.9,"5,000 to 9,999",Major Suburban,"$456,961 to < $484,748",$1.4272 and over
PEASTER ISD,184908,184 PARKER,11,A,3,1224,0.4,15,82.4,0.2,0.1,0.2,1.7,31.4,3.4,7.9,3.3,30.3,6.6,96.1,0.3,98.5,100,100,70,62,81,52,22,81,55,22,64,30,6,87,55,25,87,58,24,67,39,20,67,17,0,74,44,16,83,54,23,77,46,23,-1,-1,-1,-1,-1,-1,68,48,16,74,39,12,48.6,52.9,1053,21.1,177,109.4,2.4,1.8,5.5,61.8,8.8,19.7,93255,66472,62762,48493,4,6.9,11.2,24.9,14.7,21.4,14,0,1.8,94.5,3.7,80.5,7,2.9,0,7.1,2.5,243735,1.44,16305860,13972,14403033,47.7,43.5,8.8,1902827,122317,0,18292006,14696733,12594,64.1,8,4,8,16,9419795,8072,45,26.7,3.7,0.1,2.9,0.3,2.8,0.6,0,17.8,"1,000 to 1,599",Other Central City Suburban,"$208,918 to < $250,173",$1.4272 and over
BROCK ISD,184909,184 PARKER,11,A,4,1510,0.3,10,86.4,0.5,0.3,0,2.5,9.5,1.5,7.2,1.5,36,6.9,96.7,0.0,100,100,100,98,92,91,67,31,89,66,30,85,59,18,93,66,31,92,68,34,98,77,49,100,80,20,89,54,17,92,68,33,91,74,30,100,44,0,.,.,.,84,62,25,84,51,18,73.5,50,1124,21.8,184.9,106.5,2.2,3.8,3,57.6,9.7,23.7,101928,75650,58571,46721,9.3,8.2,14.2,20.3,13.8,19.5,19.7,0.9,2.8,94.4,1.9,82.9,9,0.9,0.2,6.7,0.3,373542,1.62,16353679,11937,12613634,38.6,58.9,2.5,3740045,3309037,0,29047894,11797951,8612,56.3,8.5,5.6,11.5,18.1,6645662,4851,47.3,7.2,2.7,0.7,5.5,0.4,2.6,1.9,0,31.9,"1,000 to 1,599",Other Central City Suburban,"$355,684 to < $378,489",$1.4272 and over
GARNER ISD,184911,184 PARKER,11,B,1,201,0.5,21.4,75.6,0,0,0,2.5,55.7,4,9,4,10,12.4,96.8,.,.,.,.,.,.,84,51,22,84,54,26,83,50,21,83,48,21,84,51,16,85,45,25,.,.,.,85,45,23,83,52,21,.,.,.,.,.,.,.,.,.,82,73,55,81,44,18,.,.,.,.,29,14,5.2,5.3,8.5,48.3,16.7,16,71636,61585,55467,46078,0,6.9,14.3,48.3,11.8,3.3,26.1,0,0,100,0,89.5,8.4,0,0,2.1,0,844536,1.151,2214200,11297,1994966,0.6,90,9.4,219234,259905,0,2353325,2053443,10477,54.3,15.3,5.4,10.6,14.4,1115353,5691,43.7,9.9,11.1,0.3,0,0.3,1.1,0,0,33.7,Under 500,Rural,"$786,525 and over",Under $1.1701
BOVINA ISD,185901,185 PARMER,16,B,3,500,0,95.4,4,0,0,0,0.6,86.6,25.2,7.4,24.8,22.6,2.4,96.1,0.0,100,96.2,100,30,25,65,26,8,65,31,9,58,19,5,70,27,10,53,14,3,76,22,8,.,.,.,64,25,8,81,29,16,.,.,.,.,.,.,.,.,.,-1,-1,-1,65,26,8,80,29.2,-1,19.1,87.6,45.1,2.3,3.3,2.7,51.5,19.4,20.8,89742,73660,51159,44919,56.6,5.7,11.1,23.9,13.9,35.4,24.1,0,29.6,70.4,0,77.8,5.8,4.3,5.5,5.8,0.8,219915,1.04,5446174,11115,5445961,63.9,22.9,13.2,213,3231659,0,6196881,5268412,10752,55.7,8.7,6.4,9,20.2,2936750,5993,41.3,5.7,12,1.9,3,0.2,4.7,0.9,2.7,27.8,500 to 999,Rural,"$208,918 to < $250,173",Under $1.1701
FARWELL ISD,185902,185 PARMER,16,A,3,552,0.2,52.2,47.1,0,0.2,0,0.4,58.5,17,11.1,15.9,30.8,6.7,96.7,0.7,93.1,100,92.5,27,26,85,49,21,84,44,18,69,30,12,89,59,30,87,49,16,82,52,26,.,.,.,79,39,14,91,59,29,.,.,.,.,.,.,.,.,.,71,43,43,81,40,13,70.4,31.6,-1,20.6,99.7,55.9,2,1.1,3.3,56.1,16.7,20.8,75500,69494,41462,44947,28.9,5.5,9.9,12.4,15.9,12.8,16.2,0,10.6,89.4,0,83.2,5,1.8,1.9,7.2,1,314144,1.17,6733765,12493,6732913,51.5,39.5,9.1,852,1821343,0,6558658,5916735,10977,59.8,7.5,5.9,9.8,17.1,3536197,6561,42.4,7.7,8.7,1.6,6.6,0.6,3.4,0.5,2.2,26.4,500 to 999,Rural,"$299,260 to < $316,695",Under $1.1701
FRIONA ISD,185903,185 PARMER,16,B,4,1134,0.4,89.6,9.3,0.2,0.3,0,0.2,67.8,31,8.8,28.6,24.2,4.1,96.1,1.2,96.2,98.6,100,74,68,80,46,18,74,43,15,71,31,8,89,53,24,83,45,11,81,46,25,80,40,0,79,44,16,94,62,36,.,.,.,.,.,.,.,.,.,17,0,0,77,40,13,45.9,23.5,.,19.1,216.9,100,1.8,3.5,5.5,46.1,23.1,19.9,85826,68915,56513,45574,51.5,5.2,11.3,34.2,12.4,17.5,26.8,0,35.5,64.5,0,78.8,6.9,5.8,1.6,4.5,2.5,314471,1.088,15868788,14296,14988766,56.2,31.6,12.2,880022,5369269,0,14726046,13498320,12161,49.9,9.1,5.2,9.2,26.6,6728652,6062,35.8,12,11,1.8,3.1,0.5,6.7,1.1,0,28,"1,000 to 1,599",Non-metropolitan Stable,"$299,260 to < $316,695",Under $1.1701
LAZBUDDIE ISD,185904,185 PARMER,16,B,1,167,0.6,39.5,58.1,1.8,0,0,0,75.4,11.4,12,10.8,36.5,3,96.3,0.0,100,100,100,8,8,72,39,17,75,42,18,57,26,4,78,44,24,59,28,7,71,29,10,-1,-1,-1,60,28,9,80,46,22,-1,-1,-1,.,.,.,.,.,.,.,.,.,72,34,11,100,37.5,-1,20.4,34.8,17.6,2.9,3.6,0,50.7,14.4,28.5,85490,78078,.,38913,28.8,4.8,9.5,34,11.0,5.7,29.4,0,5.7,94.3,0,74.1,5.7,5.7,3.2,11,0.3,332830,1.17,2423822,12059,2326502,60.6,33.5,5.9,97320,1282121,0,2060269,2060269,10250,49.3,13,6.6,16.4,14.8,1014850,5049,28.7,5.1,11.9,1.5,5.8,0.2,1.4,1.9,2.1,41.4,Under 500,Rural,"$329,469 to < $355,684",Under $1.1701
BUENA VISTA ISD,186901,186 PECOS,18,A,1,255,2.4,70.2,27.1,0.4,0,0,0,41.6,5.5,3.1,5.5,34.9,3.5,95.8,0.0,100,100,100,19,18,80,51,19,78,51,16,69,39,8,94,62,29,74,48,15,60,29,11,80,60,40,78,45,16,88,70,26,.,.,.,.,.,.,.,.,.,.,.,.,76,45,14,36.8,42.9,974,-1,30,18.3,3.3,3.3,2.5,60.9,10,20,102500,66662,65000,43161,56.7,8.5,14,50.7,7.3,6.9,19.1,1.4,43.8,54.8,0,83.6,0,2.7,0,9.5,4.2,846289,0.983,3405840,13958,3130551,2.8,91.8,5.4,275289,5221152,0,3674586,2272574,9314,49,14.4,4.1,12.5,20,1114336,4567,33.1,6.1,10.3,0.2,3.2,0,5.9,0.5,1.6,39.2,Under 500,Rural,"$786,525 and over",Under $1.1701
FORT STOCKTON ISD,186902,186 PECOS,18,B,5,2451,0.8,86,12,0.2,0.5,0,0.5,67.5,10.1,6.6,9.8,36.6,2.7,92.3,2.4,89.6,90.6,95.1,140,128,65,33,12,61,33,12,54,25,7,70,34,14,68,36,14,64,35,15,88,25,9,63,32,11,72,47,20,100,60,20,100,60,35,.,.,.,58,42,32,60,28,9,36.4,25.5,993,19.7,362.5,169,1.7,2.7,6.7,46.6,13.3,29.1,100203,77367,61702,48705,70.2,6.8,14.5,50,10.0,25.1,25,1.1,52.5,44.6,1.8,76.5,4.8,4.8,2.4,6.5,5,436910,1.254,33511989,13562,28923882,30.8,61.4,7.8,4588107,18560299,0,41615474,25165706,10184,50.9,9.1,5.2,14.7,20.1,12813946,5186,40.7,6.5,11.7,0.7,3.2,0.1,3.8,1.2,0.3,31.8,"1,600 to 2,999",Non-metropolitan Stable,"$413,609 to < $442,675",$1.1701 to under $1.3050
IRAAN-SHEFFIELD ISD,186903,186 PECOS,18,B,3,400,0.5,69,28.8,0.5,1,0.3,0,50.5,12.5,8.8,12.5,25,4,95.6,0.0,100,100,100,30,28,80,45,18,79,46,18,71,35,10,78,40,17,91,60,22,81,47,23,60,40,0,76,37,13,95,70,34,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,73,36,13,93.3,32.1,1065,20.3,83.9,41.5,2.4,6.1,5.4,49.4,9.3,27.3,106500,82899,54454,50149,37.7,4.8,9.6,23.6,13.4,17.1,26.9,0,16.6,81.1,2.4,85.7,6.2,0.2,1.2,6.6,0,1756063,1.17,10324159,20484,8774794,14.8,80.9,4.3,1549365,2028611,0,9271456,7980170,15834,45.4,11.7,8.5,16.7,17.7,3622810,7188,36.3,5.6,7.5,1.4,3.9,0.5,4.1,0.6,2.2,38,Under 500,Rural,"$786,525 and over",Under $1.1701
BIG SANDY ISD,187901,187 POLK,06,B,1,512,0.6,8.2,68.6,19.9,0.6,0,2.1,52.7,0,10.2,0,42.4,10,95.5,0.0,100,100,100,37,37,75,45,20,73,43,17,57,25,9,75,45,22,78,52,21,91,60,39,86,29,29,61,30,11,77,49,23,70,39,13,100,67,67,.,.,.,100,57,14,67,35,15,75.7,25,1042,19.2,79,41.5,2.5,3.3,10.9,52.5,14.3,16.5,84020,69397,42758,52978,11.4,6.5,12.3,14.5,16.8,13.9,2.3,0,4.8,92.8,2.4,77,7.4,0,0,13.7,2,371467,1.269,7126398,14056,6848515,41,48.2,10.7,277883,8306516,0,6213778,5825666,11490,56.9,8.1,7,12.1,16,3312308,6533,40.3,9.7,7.4,0,7.4,0.2,3.2,0.6,3.3,28,500 to 999,Rural,"$355,684 to < $378,489",$1.1701 to under $1.3050
GOODRICH ISD,187903,187 POLK,06,C,3,241,13.3,42.3,42.7,0,0,0,1.7,86.3,18.7,8.7,18.3,44.4,0.8,96,1.2,100,100,100,9,9,71,37,16,63,30,9,57,19,2,82,50,32,78,48,13,69,28,14,56,33,14,75,38,16,68,37,17,.,.,.,.,.,.,.,.,.,-1,-1,-1,70,37,15,77.8,42.9,1030,-1,44.4,18,3.8,9,4.5,40.5,19.9,22.2,44978,50925,41119,40407,37,5.4,13.4,38.9,11.6,22.2,42.6,5.6,16.6,72.3,5.6,76.5,5.6,6.3,0,11.6,0,428907,1.331,3491453,14487,3269519,45.9,41.7,12.4,221934,1703507,0,4327600,2744340,11387,45.8,15.6,9.2,11.4,18,1256686,5214,35.4,3.4,14.2,0.6,5.9,0.1,2.6,0,0,37.8,Under 500,Rural,"$413,609 to < $442,675",$1.3050 to under $1.4272
CORRIGAN-CAMDEN ISD,187904,187 POLK,06,B,3,822,25.5,40.3,30.9,0.2,0.5,0,2.6,78.8,15.1,9.1,14.4,30.3,8.6,96.4,0.0,98.4,100,98.6,63,56,68,36,14,66,35,11,59,24,3,72,36,17,66,39,11,78,50,31,55,21,9,72,39,15,76,46,16,67,17,17,100,100,67,.,.,.,61,36,11,64,32,12,68.3,23.3,993,18.5,156.4,71.4,3.8,4.4,6.6,45.6,16.4,23.2,69009,65465,58427,50765,31.8,5.3,11.5,39.4,12.6,13.5,22.6,4.2,7.7,85.3,2.8,83,5,0,0,10.5,1.5,412698,1.18,12429077,13965,11806111,36,47.6,16.5,622966,2464372,0,11582518,10673766,11993,54.9,8.7,6.7,7.6,22.2,5855331,6579,35.8,16.7,10.5,0.5,5,0.2,3.6,0.7,1.1,26.1,500 to 999,Rural,"$378,489 to < $413,609",$1.1701 to under $1.3050
LEGGETT ISD,187906,187 POLK,06,B,2,167,16.8,24.6,54.5,0.6,0,0,3.6,100,5.4,8.4,5.4,34.1,5.4,95.9,0.0,100,88.9,100,18,18,61,30,7,64,37,7,47,16,5,57,25,10,68,26,3,61,33,11,49,22,0,61,30,9,66,34,9,-1,-1,-1,.,.,.,.,.,.,50,14,7,61,30,7,33.3,16.7,975,-1,30.5,17,1.1,2.2,1.6,55.7,13.1,26.2,100102,100102,34800,42402,26.2,5.5,9.8,41.2,12.4,35.3,0.9,11.8,0,88.2,0,81.1,0,5.9,0,13,0,478889,1.182,2456463,13723,2269499,40.5,46,13.5,186964,845640,0,2149606,2019150,11280,54.8,9.2,6.8,10.7,18.4,1107385,6187,38.2,6,13.6,0.2,5.5,0.2,2.3,1.5,0,32.7,Under 500,Rural,"$456,961 to < $484,748",$1.1701 to under $1.3050
LIVINGSTON ISD,187907,187 POLK,06,B,7,3949,9.6,23.8,62.6,0.3,0.8,0,3,73,8.5,9.7,8.2,29,4.2,95.8,2.1,92.6,96.8,91.9,267,207,69,39,15,65,36,13,54,23,4,73,41,17,76,46,17,81,53,28,54,25,8,66,33,12,73,44,17,77,32,14,98,85,56,-1,-1,-1,65,40,16,65,34,12,37.5,41,1050,18.9,532.2,271.2,1.7,3.4,7.5,51,11.7,24.7,98186,71131,58050,50994,13.7,7.4,14.6,41.9,10.7,14.5,18.6,5.6,4.4,89.3,0.7,76.5,9.3,5,1.5,7.3,0.4,359479,1.39,47275769,11656,42337711,40.6,46.4,13,4938058,11106983,0,46600050,39611212,9766,52.8,4.7,5.3,16,21.2,20904163,5154,38,12.1,7.2,0.5,4.5,0.4,2.9,0.9,2.1,31.5,"3,000 to 4,999",Independent Town,"$355,684 to < $378,489",$1.3050 to under $1.4272
ONALASKA ISD,187910,187 POLK,06,A,2,1119,2.6,7.6,85.8,0.6,1.1,0,2.3,74.4,1.3,11.6,1.3,32,3.6,96,0.0,96.7,100,98.4,58,58,85,54,23,82,52,20,69,32,9,93,62,32,89,60,21,85,56,28,63,38,10,90,58,25,85,54,23,81,62,19,88,63,44,.,.,.,76,48,21,82,50,20,67.2,33.3,1014,20.6,171.5,78.4,1.7,4.4,5,45.7,19,24.2,90221,65385,68778,50523,11.6,6.5,14.3,29.3,12.2,24.2,18.8,2.6,5.1,88.5,3.8,85.3,6.6,0,0,7.6,0.4,452997,1.249,13007954,11719,11812324,35.8,52,12.2,1195630,3683476,0,13183927,11377416,10250,56.2,8.6,5.1,10.9,19.2,6388163,5755,42,8.4,10.7,0.1,4.5,0.2,1.8,0.6,1.7,30,"1,000 to 1,599",Non-metropolitan Fast Growing,"$442,675 to < $456,961",$1.1701 to under $1.3050
AMARILLO ISD,188901,188 POTTER,16,B,55,32601,10.6,46.4,34.1,0.4,5.4,0.1,2.9,68.5,15.2,11.3,15.2,26.4,5.9,95.2,1.7,91.9,93.9,94.5,1848,1505,78,48,22,74,44,18,66,33,11,85,54,27,84,58,26,78,49,29,66,33,12,77,44,17,85,60,32,78,45,19,78,51,27,45,20,4,79,49,22,73,41,16,99.7,30.6,979,22.8,4162.1,2193.8,0.6,2.6,9.7,52.7,11.5,22.9,107978,88838,65075,55326,28.2,7.8,14.9,28.1,12.1,17.1,11,1.6,14.7,81.8,1.9,66.3,10.2,7.3,5.3,4.8,6.1,250206,1.189,320329530,9775,306722513,52.6,34,13.4,13607017,88347345,0,332679654,307506083,9383,60.6,4.5,5.4,9.6,19.9,186427260,5689,49.7,12.1,9.3,1.2,2.9,0.2,1.7,1,1.5,20.4,"25,000 to 49,999",Other Central City,"$250,173 to < $272,534",$1.1701 to under $1.3050
RIVER ROAD ISD,188902,188 POTTER,16,B,4,1337,2.1,24.2,68.9,0.9,0.2,0.1,3.7,60.4,2.1,11.7,1.9,28.3,5,94.7,0.9,94.7,96.4,97.7,94,60,74,42,15,71,42,14,61,29,6,78,41,15,76,50,18,79,48,21,81,48,27,69,37,13,76,44,15,44,24,4,-1,-1,-1,-1,-1,-1,71,36,14,70,38,12,48.9,23.9,1028,18.6,211.5,103.8,1.4,3.4,6.6,49,13.6,25.8,95581,65890,56811,45322,14.5,6.3,12.9,47.4,9.6,6.6,24.2,1,8.5,88.6,1.9,82.6,6.2,2.8,0,5.8,2.6,190251,1.35,14095340,11038,13037425,62,26.7,11.3,1057915,5274017,0,15223462,13094192,10254,48.8,8.3,7.3,12.9,22.7,6390436,5004,36.7,10.3,8,0.1,4.4,0.2,5.7,1.6,0.9,32.2,"1,000 to 1,599",Other Central City Suburban,"$164,221 to < $208,918",$1.3050 to under $1.4272
HIGHLAND PARK ISD,188903,188 POTTER,16,A,3,862,2.9,40.7,46.1,0.7,6.4,0.1,3.1,66.5,7.3,12.2,7.3,33.1,2.7,95.8,2.0,96.2,95.3,100,52,50,82,49,19,81,49,19,67,30,4,84,47,18,90,65,30,78,50,25,78,52,33,79,42,14,82,50,19,88,63,38,93,78,46,.,.,.,93,55,25,78,44,16,65.4,41.2,1039,20.7,119.4,66.3,1.7,4.2,5.9,55.5,11.6,21.2,102500,69886,57186,52015,11.3,7.2,13,33.4,11.6,28.6,27.8,0,7.5,89.4,3,81.7,9.3,1.5,0,7.5,0,1226878,1.162,11321472,12678,9840050,5.9,83.5,10.6,1481422,2986139,0,9940865,8391171,9397,58.8,8.5,4.8,9.9,18,4930338,5521,38.7,11.2,9,1.6,4.9,0.4,3.4,1.8,0.9,28,500 to 999,Rural,"$786,525 and over",Under $1.1701
BUSHLAND ISD,188904,188 POTTER,16,A,3,1417,0.7,15.1,80.3,0.5,0.3,0,3.1,17.6,0.9,12.1,0.8,28.3,8.8,96.3,0.0,100,98.5,100,117,106,88,61,27,89,63,28,88,59,24,90,61,28,85,59,23,84,54,30,44,11,11,84,53,24,89,62,28,100,38,25,100,100,63,.,.,.,85,64,36,78,43,16,90.6,36.8,1111,21.6,194.5,120.5,1.7,2.2,5.7,62,9.8,18.7,106429,72507,54782,51877,7.6,7.3,11.8,24.7,13.7,16.7,13.7,0,3.2,96.4,0.4,74.1,7.9,1.6,0.3,5.7,10.3,801044,1.238,16046973,11059,13459339,7.1,88.7,4.2,2587634,3997563,0,16829534,14293475,9851,60.3,7.8,5,9.1,17.7,8621188,5942,51.6,11.9,3.3,0,4.6,0.2,4.1,1,0.5,22.7,"1,000 to 1,599",Other Central City Suburban,"$786,525 and over",$1.1701 to under $1.3050
MARFA ISD,189901,189 PRESIDIO,18,B,1,339,2.7,82.3,13.9,0,0.3,0,0.9,79.4,24.8,8,18.3,19.5,1.5,94.1,2.9,94.4,95.5,92.3,17,17,76,45,16,72,48,19,73,35,12,80,49,19,73,42,10,86,39,12,17,0,0,74,42,13,100,77,39,.,.,.,-1,-1,-1,.,.,.,100,67,0,73,40,14,52.9,11.1,.,17.9,59.4,32.6,1.7,3.4,3.2,54.8,13.5,23.5,97500,70010,50459,43996,68.9,5.7,10.4,49.1,9.8,34.1,24.8,0,49.1,47.5,3.4,85.9,3.1,0,4.4,6.2,0.4,821993,1.16,5360651,15954,4867196,9.8,80.6,9.6,493455,920251,0,4667582,4052509,12061,50.7,12.9,6.6,12,17.9,2055874,6119,35.2,6,12.8,4,3,0.2,3.5,1,2,32.4,Under 500,Rural,"$786,525 and over",Under $1.1701
PRESIDIO ISD,189902,189 PRESIDIO,18,B,3,1188,0,98.1,0.8,0,1.1,0,0,92.9,53.3,6,52.9,28.9,10.8,94.1,2.6,91.5,94.9,97,101,80,71,38,15,62,33,11,60,33,14,78,40,18,79,42,12,82,54,26,.,.,.,71,38,14,73,36,27,.,.,.,92,79,58,.,.,.,.,.,.,69,36,14,85.1,12.8,1014,17.2,239.6,95.9,1.3,1,4.2,40,15.7,37.8,114619,79045,68778,45605,92.9,5,12.4,38.9,10.8,20.4,20.8,0,63.3,11.5,25.2,82.5,4.5,0,5.7,6.7,0.6,135216,1.36,16509003,13292,15541493,73.2,14.5,12.3,967510,7341956,0,16664730,15915669,12815,51.1,9.8,5.2,12.6,21.4,8125696,6542,38.2,6.3,11.1,2,2.9,0.2,3.9,0.9,1.7,32.9,"1,000 to 1,599",Non-metropolitan Stable,"$123,158 to < $164,221",$1.3050 to under $1.4272
RAINS ISD,190903,190 RAINS,07,B,4,1715,2.4,16.7,76.9,0.8,0.4,0,2.8,63,6.5,13.1,6.2,25.6,8,94.7,3.1,86.7,91.5,95.2,98,93,77,43,17,76,43,16,66,32,9,81,44,18,79,46,16,76,48,23,71,32,14,70,33,12,79,46,18,76,45,34,100,40,0,.,.,.,78,45,11,72,35,12,50,28.6,1142,21,289.3,126.9,1.4,1.7,7.2,43.9,16.7,29.1,103067,78406,54242,43568,10,5.9,13.5,27.9,12.7,15.8,17.1,3,2.4,92.3,2.4,67.9,12.3,7.1,2.6,7.4,2.6,308996,1.23,17431790,10272,16267897,47.3,40.5,12.2,1163893,2111077,0,18194863,16051191,9459,53.7,5.9,4.6,11.5,24.2,8617780,5078,36,15.3,9.8,0.5,3.6,0.2,3.8,1.2,0.7,28.9,"1,600 to 2,999",Non-metropolitan Stable,"$299,260 to < $316,695",$1.1701 to under $1.3050
CANYON ISD,191901,191 RANDALL,16,B,17,10122,2.6,25.4,67.6,0.7,1.4,0.1,2.2,33.1,1.8,11,1.8,25.8,3.4,95.7,0.4,95.7,98.1,98.3,667,564,84,58,28,81,56,25,75,41,13,89,62,34,88,66,31,85,56,33,74,47,19,81,50,20,86,61,32,86,68,35,94,73,41,100,90,24,75,47,20,76,44,17,98.1,30.1,1162,19.8,1168.9,626.2,0.9,3.3,8.7,53.6,9,24.5,112013,70812,60075,53030,13.5,8.7,16.2,56.1,8.2,23.2,13.8,0,8.5,89.9,1.6,75.5,8.8,4,0.5,6.2,5.1,410483,1.265,95199029,9556,83486407,30.5,63.1,6.5,11712622,30209500,0,106775887,76818267,7711,59.2,5.4,6,10.7,18.7,45493426,4567,52.5,11.2,4.8,0.1,2.7,0.2,2.4,1.7,0.4,24.1,"10,000 to 24,999",Other Central City,"$378,489 to < $413,609",$1.1701 to under $1.3050
REAGAN COUNTY ISD,192901,192 REAGAN,18,C,3,871,0.7,81.6,15.8,0.1,0.7,0.1,0.9,62,13.5,7.2,13.3,23.2,3.4,94.6,0.4,96,92.9,97.1,43,39,69,35,13,67,35,13,58,26,4,74,39,15,69,33,12,71,37,15,71,71,43,67,31,10,82,57,27,-1,-1,-1,36,7,0,-1,-1,-1,70,50,20,63,27,8,48.8,14.3,980,17.7,149.4,79.8,2.5,2.7,8.7,53.4,12.7,19.9,93141,78421,57537,45201,40.6,5.8,10.9,47.4,10.4,17.8,23.1,1.3,31.2,67.6,0,75.3,6.3,9.6,1.7,5.2,2,2134451,1.32,17837535,20887,14430400,8,85.7,6.3,3407135,11707885,0,16534525,11756350,13766,48.9,7.9,5.5,14.1,23.6,5749256,6732,34,7.3,15.4,0.8,2.9,0.5,6.8,0.5,1.1,30.7,500 to 999,Rural,"$786,525 and over",$1.3050 to under $1.4272
BIG SPRINGS CHARTER SCHOOL,193801,193 REAL,20,Not Rated,2,227,2.2,55.5,39.2,0.4,0,0.4,2.2,86.8,3.5,44.9,3.5,35.7,0.4,89.8,17.7,40,42.9,50,7,2,42,18,5,40,16,2,8,0,0,39,18,7,53,28,5,52,22,11,.,.,.,39,17,4,46,20,7,.,.,.,.,.,.,-1,-1,-1,44,22,0,36,13,2,0,.,.,.,59.2,21.7,3.4,3.4,6.9,36.7,20,29.6,87503,67916,44596,43859,35.9,3.8,10.4,59,8.2,17.6,21,0,18.4,77,4.6,65.7,28.9,0,0,5.4,0,0,0,3813372,16366,3813372,91.1,0.3,8.6,0,0,661214,3488645,3488645,14973,51.7,11.6,12,9.2,15.4,1802831,7737,12.5,40.5,9.9,0.2,1.9,0,0.9,0.8,0,33.4,Under 500,Charters,Non-taxing entities,Non-taxing entities
