DISTNAME,DISTRICT,DZCNTYNM,REGION,DZRATING,DZCAMPUS,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETLEPP,DPETSPEP,DPETBILP,DPETVOCP,DPETGIFP,DA0AT19R,DA0912DR19R,DAGC4X19R,DAGC5X18R,DAGC6X17R,DA0GR19N,DA0GS19N,DDA00A001S20R,DDA00A001220R,DDA00A001320R,DDA00AR01S20R,DDA00AR01220R,DDA00AR01320R,DDA00AW01S20R,DDA00AW01220R,DDA00AW01320R,DDA00AM01S20R,DDA00AM01220R,DDA00AM01320R,DDA00AC01S20R,DDA00AC01220R,DDA00AC01320R,DDA00AS01S20R,DDA00AS01220R,DDA00AS01320R,DDB00A001S20R,DDB00A001220R,DDB00A001320R,DDH00A001S20R,DDH00A001220R,DDH00A001320R,DDW00A001S20R,DDW00A001220R,DDW00A001320R,DDI00A001S20R,DDI00A001220R,DDI00A001320R,DD300A001S20R,DD300A001220R,DD300A001320R,DD400A001S20R,DD400A001220R,DD400A001320R,DD200A001S20R,DD200A001220R,DD200A001320R,DDE00A001S20R,DDE00A001220R,DDE00A001320R,DA0CT19R,DA0CC19R,DA0CSA19R,DA0CAA19R,DPSATOFC,DPSTTOFC,DPSCTOFP,DPSSTOFP,DPSUTOFP,DPSTTOFP,DPSETOFP,DPSXTOFP,DPSCTOSA,DPSSTOSA,DPSUTOSA,DPSTTOSA,DPSAMIFP,DPSAKIDR,DPSTKIDR,DPST05FP,DPSTEXPA,DPSTADFP,DPSTURNR,DPSTBLFP,DPSTHIFP,DPSTWHFP,DPSTINFP,DPSTASFP,DPSTPIFP,DPSTTWFP,DPSTREFP,DPSTSPFP,DPSTCOFP,DPSTBIFP,DPSTVOFP,DPSTGOFP,DPFVTOTK,DPFTADPR,DPFRAALLT,DPFRAALLK,DPFRAOPRT,DPFRASTAP,DZRVLOCP,DPFRAFEDP,DPFRAORVT,DPFUNAB1T,DPFUNA4T,DPFEAALLT,DPFEAOPFT,DPFEAOPFK,DPFEAINSP,DZEXADMP,DZEXADSP,DZEXPLAP,DZEXOTHP,DPFEAINST,DPFEAINSK,DPFPAREGP,DPFPASPEP,DPFPACOMP,DPFPABILP,DPFPAVOCP,DPFPAGIFP,DPFPAATHP,DPFPAHSAP,DPFPREKP,DPFPAOTHP,DISTSIZE,COMMTYPE,PROPWLTH,TAXRATE
NYOS CHARTER SCHOOL,227804,227 TRAVIS,13,Not Rated: Declared State of Disaster,2,1061,12.7,32.2,39.1,0.3,10.4,0.1,5.2,33.8,22.9,8.7,22.4,20.5,1.1,96.3,0.7,94.4,100,100,51,44,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,84.3,65.1,1147,22.8,122.6,85.9,2,3.3,8.2,70,12.5,4,108613,76864,60915,49687,28.9,8.7,12.4,40.5,8.6,35.3,17.7,6.2,15.1,76.4,0,2.2,0,0,86.4,8.4,2.3,0,2.9,0,0,0,9607815,9447,9607815,91.9,3.7,4.4,0,0,3440527,9086456,8896437,8748,65.7,9.3,6.4,12.3,6.2,5843718,5746,53,12,5.3,1.6,1.7,0.1,0.5,1.3,1.4,23.1,"1,000 to 1,599",Charters,Non-taxing entities,Non-taxing entities
TEXAS EMPOWERMENT ACADEMY,227805,227 TRAVIS,13,Not Rated: Declared State of Disaster,2,366,88.8,9.3,0,0,0,0,1.9,84.2,0.3,9,0,0,0,93.6,3.3,.,.,.,.,.,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,.,.,.,.,42.7,25,2.8,2.8,16.4,58.5,0.7,18.7,69368,77685,52563,50221,97.7,8.6,14.6,84,3.4,5.7,31.7,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,4011600,12011,4011600,76.6,3.7,19.7,0,0,881849,3946763,3902925,11685,55.1,11.9,6.1,14.9,11.9,2150262,6438,41.3,5.6,18.1,0,0,0,0.4,0.1,0,34.6,Under 500,Charters,Non-taxing entities,Non-taxing entities
UNIVERSITY OF TEXAS UNIVERSITY CHA,227806,227 TRAVIS,13,Not Rated: Declared State of Disaster,23,609,18.4,32.8,43.3,2.3,0.2,0,3,60.4,6.4,36.8,6.4,22,0,93.1,6.7,31.8,36.7,22.5,14,7,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,14.3,-1,-1,-1,122.9,74.4,5.5,6,7.7,60.5,12.1,8.2,93167,84673,65566,55568,36.4,5,8.2,29.4,13.1,35.3,26.2,10.7,17,71,0,1.3,0,0,75.6,20.4,0,0,4,0,0,0,11342004,17777,11342004,87.4,0.1,12.6,0,0,3144995,10299846,10289467,16128,61,13,11.3,1.7,13.1,6274196,9834,35.5,33.7,15.1,0.2,0,0,0,0.9,0,14.5,500 to 999,Charters,Non-taxing entities,Non-taxing entities
CHAPARRAL STAR ACADEMY,227814,227 TRAVIS,13,Not Rated: Declared State of Disaster,1,376,9,18.1,44.1,0.5,19.9,0.3,8,0,9.6,2.4,8.5,30.3,0,95.4,1.5,93.5,100,100,31,29,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,96.8,96.7,1291,28.6,31,25.8,1.6,5.6,9.4,83.4,0,0,100146,77787,46210,50984,20.1,12.1,14.6,24.2,10.9,38.9,11.1,0,11.6,79.7,0,8.7,0,0,93,0,0,0,7,0,0,0,3010931,7821,3010931,96.2,3,0.8,0,0,0,2917724,2752770,7150,73.2,7.5,8.1,5.6,5.6,2014651,5233,77.3,2.1,0.5,0.9,4.4,0,0,0,0,14.9,Under 500,Charters,Non-taxing entities,Non-taxing entities
HARMONY SCIENCE ACADEMY (AUSTIN),227816,227 TRAVIS,13,Not Rated: Declared State of Disaster,7,4214,10.9,56.2,14.4,0.1,16.2,0.1,2.2,67.2,45.5,7.3,44.7,22.8,8.3,96,0.3,97.9,97.2,99.4,188,154,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,100,38.8,1024,23.2,466,287.8,0.9,7.3,12.4,61.8,10.3,7.4,89522,78515,60057,54333,43.4,9,14.6,64,5.2,29.3,28.6,8.9,25,57.6,0,5.1,0.7,2.7,88.4,5.2,0,2.4,3.9,0.2,0,0,44387326,11028,44320421,84.4,7.4,8.1,66905,0,3021532,40862804,39049116,9702,55,8.1,8.8,15.6,12.5,21469083,5334,51.2,4.9,9.1,2.1,1.9,0.4,0,0.6,0,29.8,"3,000 to 4,999",Charters,Non-taxing entities,Non-taxing entities
CEDARS INTERNATIONAL ACADEMY,227817,227 TRAVIS,13,Not Rated: Declared State of Disaster,2,501,12.2,76.4,8.4,0.2,0.8,0,2,85.2,44.1,9.8,44.1,21.6,2.2,96.2,0.0,.,.,.,8,6,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,100,22.2,947,.,70,39.9,2.9,5,9.8,57,12.5,12.9,91500,82663,56341,53233,47,7.2,12.6,40.3,8.8,39.7,18.4,5,23.8,63.6,0,2.5,0,5,85.6,5,3.9,0,5.4,0,0,0,5935732,10832,5935732,86.9,2.3,10.8,0,0,2229919,5850988,5788571,10563,56.6,8.9,7.3,13.4,13.9,3274367,5975,43,6.5,14.3,1.7,1.6,0.2,0.5,1.3,1,29.9,500 to 999,Charters,Non-taxing entities,Non-taxing entities
UNIVERSITY OF TEXAS ELEMENTARY CHA,227819,227 TRAVIS,13,Not Rated: Declared State of Disaster,1,295,9.2,66.1,18,0,2.4,0,4.4,55.3,16.6,15.6,15.9,0,5.1,96.6,.,.,.,.,.,.,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,.,.,.,.,37.9,23.1,2,4,8.3,61,7.9,16.9,83296,81110,64717,55237,47.9,7.8,12.8,17.3,13.0,34.6,4.7,0,26,65.4,0,4.3,0,4.3,91.3,8.7,0,0,0,0,0,0,3487020,11701,3487020,72.3,20.6,7.2,0,0,893030,2983752,2983752,10013,60,10.1,5.8,8.9,15.2,1789583,6005,47.7,7.1,15.1,0.7,0,0.4,0,0,1,28,Under 500,Charters,Non-taxing entities,Non-taxing entities
KIPP TEXAS PUBLIC SCHOOLS,227820,227 TRAVIS,04,Not Rated: Declared State of Disaster,54,28668,25,70.4,1.4,0.4,1.8,0.1,0.9,86,37.6,8.3,36.9,7.7,0,96.3,0.8,98.2,98.1,95.7,873,815,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,100,23.9,952,19.4,3177.7,1510.9,0.8,5.6,19.7,47.5,12.6,13.8,134432,76157,67950,57422,75,9,19,75.7,4.1,18.3,35.1,36.5,29.2,25.7,0.4,3.1,2.1,3,93.3,2.4,0,2.8,1.5,0,0,0,317145246,11726,317145246,79.1,7.8,13.2,0,0,73224801,300114736,287824343,10642,44.5,10,10.4,13,22.1,128019025,4733,44.9,6.3,11.1,1.5,0.7,0,0.6,0.6,0.1,34.1,"25,000 to 49,999",Charters,Non-taxing entities,Non-taxing entities
AUSTIN DISCOVERY SCHOOL,227821,227 TRAVIS,13,Not Rated: Declared State of Disaster,1,451,1.8,23.7,68.3,0.4,0.4,0,5.3,17.5,0,11.8,0,0,0,94.7,.,.,.,.,.,.,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,.,.,.,.,54.9,38.4,2.6,3.6,11.9,69.9,4.9,7.1,59177,52116,51002,46996,11.5,8.2,11.8,52.1,6.2,38.5,39.7,2.6,7.7,87.2,0,2.6,0,0,93.2,6.8,0,0,0,0,0,0,4810003,9469,4810003,88.8,8.1,3.1,0,0,1008450,4534328,4264214,8394,65.6,12.5,1.5,10.1,10.2,2798822,5509,56.8,12.6,5.6,0.3,0,0,0,0,0,24.6,Under 500,Charters,Non-taxing entities,Non-taxing entities
PROMESA PUBLIC SCHOOLS,227824,227 TRAVIS,13,Not Rated: Declared State of Disaster,4,1010,6.6,88.1,4.4,0,0.2,0,0.7,91,38.5,7.2,37.9,2.8,0,94.6,1.6,94.9,97.7,.,76,60,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,90.8,7.2,891,-1,124.8,61.4,0.8,7.2,17.6,49.2,14.6,10.5,237415,60892,49784,54385,84.8,8.1,16.5,78.9,4.0,8.1,35.2,17.9,62.5,19.6,0,0,0,0,89.7,10.3,0,0,0,0,0,0,12110031,11678,12110031,72.7,3.1,24.2,0,0,1733882,14230753,14230719,13723,47.7,6.3,4.2,17.6,24.2,6788346,6546,40.9,4.8,10,1.7,0,0,0.7,0.6,0,41.3,"1,000 to 1,599",Charters,Non-taxing entities,Non-taxing entities
AUSTIN ACHIEVE PUBLIC SCHOOLS,227825,227 TRAVIS,13,Not Rated: Declared State of Disaster,3,1869,6.4,90.2,2.5,0.1,0.2,0,0.6,92.3,63.6,9.7,51.7,10.4,0,96.4,1.0,.,.,.,80,79,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,100,21.1,1089,19.6,228.8,120.8,0.2,5.3,18.6,52.8,16.4,6.7,150000,80581,55740,54916,51.1,8.2,15.5,87.2,2.9,14.5,29.5,15.1,21.5,57.5,1.7,4.1,0,0,92.1,7.9,0,0,0,0,0,0,20880643,13419,20880643,73.1,10.8,16.2,0,0,4901827,18201617,16240705,10437,51.2,7.7,6.6,11.3,23.2,8321279,5348,37.1,9,10.7,4.1,0,0,1,0.8,0,37.3,"1,600 to 2,999",Charters,Non-taxing entities,Non-taxing entities
MONTESSORI FOR ALL,227826,227 TRAVIS,13,Not Rated: Declared State of Disaster,1,478,12.1,48.7,32.8,0,2.3,0,4,50.8,25.7,6.7,25.7,0,0,96.2,.,.,.,.,.,.,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,.,.,.,.,55.6,21,1.8,5.4,10.1,37.8,28.7,16.3,103520,66333,78152,48583,54.4,8.6,22.8,81,2.8,4.8,34.4,9.5,23.8,66.7,0,0,0,0,90.5,9.5,0,0,0,0,0,0,5073149,11101,4752989,69.3,26.6,4.1,320160,0,3533907,4762418,4364750,9551,49.7,11.9,7.3,18.2,13,2168100,4744,53.8,5.6,5.1,1.5,0,0,0,0,1.4,32.6,Under 500,Charters,Non-taxing entities,Non-taxing entities
THE EXCEL CENTER (FOR ADULTS),227827,227 TRAVIS,13,Not Rated: Declared State of Disaster,6,706,23.8,48.9,22,1,3,0.1,1.3,84.1,19.8,2.7,19.4,75.5,0,87.5,42.1,32.4,28.3,.,130,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,.,.,.,79.9,40.1,11.3,6.2,22.3,50.2,1.3,8.8,73710,60921,46609,42821,49.9,8.8,17.6,79.2,5.1,55.1,.,12.5,17.9,62.1,0,5,0,2.5,89.7,0,0,0,10.3,0,0,0,2720566,7122,2720566,76,22.1,1.9,0,0,88988,2781956,2781956,7283,37.1,3.6,20.5,15,23.8,1032744,2704,67.2,0.2,5,0.8,3.7,0,0,0,0,23.2,500 to 999,Charters,Non-taxing entities,Non-taxing entities
VALOR PUBLIC SCHOOLS,227829,227 TRAVIS,13,Not Rated: Declared State of Disaster,1,532,2.8,22.7,64.3,0,3,0,7.1,21.1,3.9,6.4,3.9,0,0,96.6,.,.,.,.,.,.,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,.,.,.,.,49.7,28.4,4,6.4,22.2,57.1,9.8,0.5,90971,62234,58911,43733,12.2,10.7,18.7,51.4,6.1,36.8,24.3,2.9,10.6,86.5,0,0,0,0,100,0,0,0,0,0,0,0,5317439,11585,5317439,68.9,20.6,10.5,0,0,332865,3977756,3977756,8666,52.7,10.2,10.3,20,6.7,2096404,4567,56.1,6.2,0.7,0.5,0,0,1,0,0,35.5,500 to 999,Charters,Non-taxing entities,Non-taxing entities
AUSTIN ISD,227901,227 TRAVIS,13,Not Rated: Declared State of Disaster,128,80718,6.9,55.3,29.8,0.1,4.3,0.1,3.4,53,28.2,12.8,31,29.7,10.9,95,0.8,94.5,95.8,95.8,4463,3952,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,70.2,57.9,1126,23.5,11004.5,5477.3,0.4,2.9,9.3,49.8,9.3,28.3,140938,85796,65508,54707,56.1,7.3,14.7,42,10.0,19.1,17.5,5.7,32.9,57,0.3,2.6,0.1,1.4,54,13.8,0.9,17.1,4.3,10,1382466,1.192,1000904698,12545,861610418,6.8,78.6,14.6,139294280,270476533,0,1122352690,866067916,10855,52.9,7.1,6.4,11,22.6,457723297,5737,38.8,16.9,9.9,1.6,1.8,0.4,1.6,0.6,2.8,25.5,"50,000 and over",Major Urban,"$847,341 and over",$1.1701 to under $1.3141
PFLUGERVILLE ISD,227904,227 TRAVIS,13,Not Rated: Declared State of Disaster,30,26353,15.5,48.5,22.9,0.2,8.1,0.2,4.6,50.6,22.2,12.1,22.4,26.5,7.3,95.7,0.3,97.9,99.1,99.1,1713,1551,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,99.7,32.4,1088,18.5,3459.3,1817.2,1.4,3.2,11.3,52.5,11.8,19.8,94540,77777,65278,55162,44.3,7.6,14.5,31.6,11.2,29,18,7.9,24.9,62.6,0.2,1.9,0.3,2.3,69.4,13.7,0,9.6,3.6,3.7,485050,1.52,322713594,12725,254424328,27.9,63.4,8.7,68289266,57033594,0,348198869,251333529,9910,58.3,5.7,5.3,8.7,22.1,146471065,5775,45.5,18.6,6.2,1.7,2.6,0.3,2,0.9,0.4,21.8,"25,000 to 49,999",Major Suburban,"$483,611 to < $530,196",$1.4301 and over
MANOR ISD,227907,227 TRAVIS,13,Not Rated: Declared State of Disaster,15,9581,20.2,65.8,7,0.2,3.7,0.2,2.8,73.9,41.7,10,41.7,38.1,9.4,95.1,2.6,87,90.6,92.1,544,451,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,81.6,15.8,894,18.4,1346.1,625.4,1,6.3,11.5,46.5,7.4,27.4,107618,66801,64575,52193,63.9,7.1,15.3,51.4,7.9,27.7,25.3,18.6,30,47,0.3,1.8,0.5,1.9,78.2,7,0,14.8,0,0,473453,1.515,126406167,13383,96854132,27.5,58.5,14,29552035,28964966,0,158114453,100384702,10628,50.1,9.7,6.6,10.9,22.7,50246238,5320,44.9,11.4,6.1,1.6,2.9,0.4,2.1,0.3,0,30.4,"5,000 to 9,999",Major Suburban,"$472,586 to < $483,611",$1.4301 and over
EANES ISD,227909,227 TRAVIS,13,Not Rated: Declared State of Disaster,10,8144,0.8,13,67.9,0.2,13.1,0.1,5.1,3.3,2.1,9.1,7.1,21.5,10.6,96.1,0.0,99.8,99.4,99.1,638,583,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,96.2,89.7,1319,28.4,1105.7,611.4,1.5,2.6,10.6,55.3,8.5,21.5,125354,92392,68361,56530,23.1,7.4,13.3,25.9,13.0,41.1,11.1,0.8,9.8,85.6,0.4,2.2,0,1.1,76.4,15.6,1.9,0.7,1.9,3.6,1768883,1.2,104691503,12917,81071601,6.3,89.6,4.1,23619902,22491062,0,110818467,84197463,10388,57.8,7.8,4.3,10.2,19.9,48649027,6002,43.7,22,2,0.6,1.6,0.8,2.4,1.3,0,25.7,"5,000 to 9,999",Major Suburban,"$847,341 and over",$1.1701 to under $1.3141
DEL VALLE ISD,227910,227 TRAVIS,13,Not Rated: Declared State of Disaster,15,10952,8.1,85.2,4.3,0.1,0.8,0.1,1.5,87.9,43,14.8,43.5,34.6,5.3,93.6,0.6,94.9,94.2,93.5,801,583,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,90.5,13.2,882,15.5,1752.8,842.1,0.6,2.9,10.1,48,9.4,29,111430,74893,67632,56193,61.2,6.2,13,56,7.1,24.3,21.9,7.2,35.5,54.3,0.4,1.8,0.1,0.7,54.7,12.7,3.2,11.2,4.7,13.5,475748,1.39,147203514,13595,123666699,29.3,54.8,15.9,23536815,30470421,0,151956405,123854484,11438,54.5,5.5,6.4,9.5,24.2,67446784,6229,45.1,11.4,10.6,1.3,2.1,0.2,1.4,0.7,0.9,26.3,"10,000 to 24,999",Major Suburban,"$472,586 to < $483,611",$1.3141 to under $1.4301
LAGO VISTA ISD,227912,227 TRAVIS,13,Not Rated: Declared State of Disaster,4,1581,0.4,25.5,67.9,0.6,0.4,0.2,4.9,26.9,6.1,10.2,6.1,36.1,9,95.9,0.0,98.9,100,96.3,90,77,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,65.6,55.9,1116,23.2,173.2,99.6,2.9,6.4,12.6,57.5,10.6,9.9,92831,63306,54896,53777,11.9,9.1,15.9,25.6,12.4,19.8,16.6,0,6,93,1,0,0,0,70.8,8.4,6.2,0.7,7.4,6.5,1011635,1.32,20431698,13363,16051013,7.9,86.3,5.8,4380685,6163872,0,20500929,14524260,9499,54,8.2,6.5,13,18.4,7835826,5125,41,14,6,0.1,4.9,2.9,3.4,1.4,0.4,26.1,"1,000 to 1,599",Non-metropolitan Stable,"$847,341 and over",$1.3141 to under $1.4301
LAKE TRAVIS ISD,227913,227 TRAVIS,13,Not Rated: Declared State of Disaster,10,11057,1.6,19.7,66.9,0.3,6.5,0.1,4.9,12.7,6.2,9.4,6.1,27.4,9.6,95.3,0.6,95.4,96.5,96.5,689,629,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,88.5,80.2,1220,25.8,1179.8,630.4,1,2.5,10.4,53.4,10.5,22.2,154325,77149,69633,55196,17.8,9.4,17.5,28.9,11.7,30.4,15.1,0.8,12.7,83.9,0.4,1.1,0,1.1,79.6,9.2,0.8,2.9,4.9,2.6,1086811,1.408,138588779,12958,97523631,9.9,86.2,4,41065148,39086957,0,209523740,93548573,8747,56.7,8.7,4.1,10.1,20.3,53069193,4962,46.4,15.2,1.5,1.4,3.4,0.7,3.1,1,0,27.3,"10,000 to 24,999",Major Suburban,"$847,341 and over",$1.3141 to under $1.4301
GROVETON ISD,228901,228 TRINITY,06,Not Rated: Declared State of Disaster,2,761,6.4,14.2,75.3,0.1,0.7,0,3.3,69.4,1.4,15.6,1.4,27.7,8.3,95.6,1.3,90.2,92.7,94.7,47,35,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,55.3,53.8,1113,23,127.9,64.8,1.6,3.1,1.7,50.7,19.1,23.8,105700,72912,56551,52148,13.3,5.9,11.7,26.2,15.3,9.9,14.1,6.2,1.5,92.3,0,0,0,0,80.3,7,1.5,0,11.2,0,410910,1.04,10959770,14831,10959770,47.6,34.6,17.8,0,1970855,0,9762357,9453324,12792,55.5,10.3,4,9.1,21.1,5244326,7097,35.1,19.2,9.3,0.3,6.4,0.3,3.8,0.8,0.7,24,500 to 999,Rural,"$407,429 to < $450,515",Under $1.1701
TRINITY ISD,228903,228 TRINITY,06,Not Rated: Declared State of Disaster,3,1205,15.3,25.4,54.6,0.1,0.2,0,4.4,80.4,8.5,11.5,8.5,35.4,4.3,94.6,1.6,90.2,96.4,94.5,82,72,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,54.9,17.8,944,17.5,177.5,90.7,1.7,4.5,6.2,51.1,11.8,24.6,101349,69534,57394,50164,22.6,6.8,13.3,49.4,8.4,15.5,26.8,8.8,7.7,81.3,2.2,0,0,0,78.4,5.5,4.4,0,8.9,2.8,326005,1.29,13962071,11753,12885412,50.2,37.3,12.5,1076659,3881580,0,16467896,12827848,10798,51.8,11.4,5.4,12.8,18.5,6649264,5597,43.7,8,7.6,0.1,1.2,0.2,2.9,0.4,2.9,33,"1,000 to 1,599",Non-metropolitan Stable,"$317,442 to < $337,807",$1.1701 to under $1.3141
